INFO:root:Using Tensorboard, logs will be saved in workspace/20210413_2/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 2823 annotation files.
INFO:root:Load 2823 xml files and 7698 boxes
INFO:root:Done (t=0.17s)
INFO:root:loading annotations into memory...
INFO:root:Found 500 annotation files.
INFO:root:Load 500 xml files and 1370 boxes
INFO:root:Done (t=0.03s)
INFO:root:Training batch size: 50
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:warmup|Iter(1/100)| lr:1.80e-02| loss_qfl:0.0429| loss_bbox:1.7374| loss_dfl:0.5219| 
INFO:root:warmup|Iter(11/100)| lr:3.04e-02| loss_qfl:0.0601| loss_bbox:1.6939| loss_dfl:0.4757| 
INFO:root:warmup|Iter(21/100)| lr:4.27e-02| loss_qfl:0.1955| loss_bbox:1.4080| loss_dfl:0.3490| 
INFO:root:warmup|Iter(31/100)| lr:5.50e-02| loss_qfl:0.1798| loss_bbox:1.3670| loss_dfl:0.3193| 
INFO:root:warmup|Iter(41/100)| lr:6.73e-02| loss_qfl:0.1867| loss_bbox:1.3196| loss_dfl:0.3127| 
INFO:root:warmup|Iter(51/100)| lr:7.96e-02| loss_qfl:0.2534| loss_bbox:1.1328| loss_dfl:0.2794| 
INFO:root:warmup|Iter(57/100)| lr:8.70e-02| loss_qfl:0.3065| loss_bbox:0.9963| loss_dfl:0.2572| 
INFO:root:warmup|Iter(67/100)| lr:9.93e-02| loss_qfl:0.4498| loss_bbox:0.8998| loss_dfl:0.2365| 
INFO:root:warmup|Iter(77/100)| lr:1.12e-01| loss_qfl:0.4197| loss_bbox:0.8840| loss_dfl:0.2405| 
INFO:root:warmup|Iter(87/100)| lr:1.24e-01| loss_qfl:0.3220| loss_bbox:0.9611| loss_dfl:0.2493| 
INFO:root:warmup|Iter(97/100)| lr:1.36e-01| loss_qfl:0.3563| loss_bbox:0.8652| loss_dfl:0.2369| 
INFO:root:train|Epoch1/200|Iter1(0/56)| lr:1.40e-01| loss_qfl:0.4310| loss_bbox:0.7934| loss_dfl:0.2253| 
INFO:root:train|Epoch1/200|Iter11(10/56)| lr:1.40e-01| loss_qfl:0.3763| loss_bbox:0.8062| loss_dfl:0.2240| 
INFO:root:train|Epoch1/200|Iter21(20/56)| lr:1.40e-01| loss_qfl:0.3575| loss_bbox:0.7951| loss_dfl:0.2227| 
INFO:root:train|Epoch1/200|Iter31(30/56)| lr:1.40e-01| loss_qfl:0.3931| loss_bbox:0.7536| loss_dfl:0.2144| 
INFO:root:train|Epoch1/200|Iter41(40/56)| lr:1.40e-01| loss_qfl:0.4183| loss_bbox:0.7494| loss_dfl:0.2105| 
INFO:root:train|Epoch1/200|Iter51(50/56)| lr:1.40e-01| loss_qfl:0.4084| loss_bbox:0.7128| loss_dfl:0.2031| 
INFO:root:train|Epoch2/200|Iter57(0/56)| lr:1.40e-01| loss_qfl:0.3524| loss_bbox:0.7502| loss_dfl:0.2036| 
INFO:root:train|Epoch2/200|Iter67(10/56)| lr:1.40e-01| loss_qfl:0.3786| loss_bbox:0.6905| loss_dfl:0.2038| 
INFO:root:train|Epoch2/200|Iter77(20/56)| lr:1.40e-01| loss_qfl:0.3881| loss_bbox:0.6815| loss_dfl:0.2013| 
INFO:root:train|Epoch2/200|Iter87(30/56)| lr:1.40e-01| loss_qfl:0.3870| loss_bbox:0.7002| loss_dfl:0.2030| 
INFO:root:train|Epoch2/200|Iter97(40/56)| lr:1.40e-01| loss_qfl:0.3991| loss_bbox:0.6766| loss_dfl:0.1979| 
INFO:root:train|Epoch2/200|Iter107(50/56)| lr:1.40e-01| loss_qfl:0.4068| loss_bbox:0.6755| loss_dfl:0.1974| 
INFO:root:train|Epoch3/200|Iter113(0/56)| lr:1.40e-01| loss_qfl:0.4206| loss_bbox:0.6724| loss_dfl:0.2099| 
INFO:root:train|Epoch3/200|Iter123(10/56)| lr:1.40e-01| loss_qfl:0.3889| loss_bbox:0.6605| loss_dfl:0.1960| 
INFO:root:train|Epoch3/200|Iter133(20/56)| lr:1.40e-01| loss_qfl:0.3727| loss_bbox:0.6534| loss_dfl:0.1909| 
INFO:root:train|Epoch3/200|Iter143(30/56)| lr:1.40e-01| loss_qfl:0.3695| loss_bbox:0.6203| loss_dfl:0.1846| 
INFO:root:train|Epoch3/200|Iter153(40/56)| lr:1.40e-01| loss_qfl:0.3709| loss_bbox:0.6209| loss_dfl:0.1892| 
INFO:root:train|Epoch3/200|Iter163(50/56)| lr:1.40e-01| loss_qfl:0.3409| loss_bbox:0.6850| loss_dfl:0.1948| 
INFO:root:train|Epoch4/200|Iter169(0/56)| lr:1.40e-01| loss_qfl:0.3567| loss_bbox:0.6036| loss_dfl:0.1925| 
INFO:root:train|Epoch4/200|Iter179(10/56)| lr:1.40e-01| loss_qfl:0.3572| loss_bbox:0.6324| loss_dfl:0.1884| 
INFO:root:train|Epoch4/200|Iter189(20/56)| lr:1.40e-01| loss_qfl:0.3665| loss_bbox:0.6584| loss_dfl:0.1963| 
INFO:root:train|Epoch4/200|Iter199(30/56)| lr:1.40e-01| loss_qfl:0.3650| loss_bbox:0.6404| loss_dfl:0.1852| 
INFO:root:train|Epoch4/200|Iter209(40/56)| lr:1.40e-01| loss_qfl:0.3756| loss_bbox:0.6113| loss_dfl:0.1852| 
INFO:root:train|Epoch4/200|Iter219(50/56)| lr:1.40e-01| loss_qfl:0.3764| loss_bbox:0.5833| loss_dfl:0.1820| 
INFO:root:train|Epoch5/200|Iter225(0/56)| lr:1.40e-01| loss_qfl:0.3313| loss_bbox:0.6313| loss_dfl:0.1889| 
INFO:root:train|Epoch5/200|Iter235(10/56)| lr:1.40e-01| loss_qfl:0.3651| loss_bbox:0.6069| loss_dfl:0.1854| 
INFO:root:train|Epoch5/200|Iter245(20/56)| lr:1.40e-01| loss_qfl:0.3567| loss_bbox:0.5980| loss_dfl:0.1821| 
INFO:root:train|Epoch5/200|Iter255(30/56)| lr:1.40e-01| loss_qfl:0.3537| loss_bbox:0.6038| loss_dfl:0.1830| 
INFO:root:train|Epoch5/200|Iter265(40/56)| lr:1.40e-01| loss_qfl:0.3770| loss_bbox:0.6012| loss_dfl:0.1822| 
INFO:root:train|Epoch5/200|Iter275(50/56)| lr:1.40e-01| loss_qfl:0.3562| loss_bbox:0.5823| loss_dfl:0.1812| 
INFO:root:train|Epoch6/200|Iter281(0/56)| lr:1.40e-01| loss_qfl:0.3388| loss_bbox:0.6493| loss_dfl:0.1847| 
INFO:root:train|Epoch6/200|Iter291(10/56)| lr:1.40e-01| loss_qfl:0.3426| loss_bbox:0.6000| loss_dfl:0.1822| 
INFO:root:train|Epoch6/200|Iter301(20/56)| lr:1.40e-01| loss_qfl:0.3453| loss_bbox:0.5796| loss_dfl:0.1793| 
INFO:root:train|Epoch6/200|Iter311(30/56)| lr:1.40e-01| loss_qfl:0.3553| loss_bbox:0.5672| loss_dfl:0.1810| 
INFO:root:train|Epoch6/200|Iter321(40/56)| lr:1.40e-01| loss_qfl:0.3506| loss_bbox:0.5707| loss_dfl:0.1781| 
INFO:root:train|Epoch6/200|Iter331(50/56)| lr:1.40e-01| loss_qfl:0.3639| loss_bbox:0.5781| loss_dfl:0.1782| 
INFO:root:train|Epoch7/200|Iter337(0/56)| lr:1.40e-01| loss_qfl:0.3653| loss_bbox:0.5999| loss_dfl:0.1758| 
INFO:root:train|Epoch7/200|Iter347(10/56)| lr:1.40e-01| loss_qfl:0.3557| loss_bbox:0.5842| loss_dfl:0.1790| 
