INFO:root:Using Tensorboard, logs will be saved in workspace/20210407_2/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 2823 annotation files.
INFO:root:Load 2823 xml files and 7698 boxes
INFO:root:Done (t=0.17s)
INFO:root:loading annotations into memory...
INFO:root:Found 500 annotation files.
INFO:root:Load 500 xml files and 1370 boxes
INFO:root:Done (t=0.03s)
INFO:root:Training batch size: 50
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:warmup|Iter(1/150)| lr:1.48e-02| loss_qfl:0.0647| loss_bbox:1.6568| loss_dfl:0.5186| 
INFO:root:warmup|Iter(11/150)| lr:2.32e-02| loss_qfl:0.1766| loss_bbox:1.5141| loss_dfl:0.4664| 
INFO:root:warmup|Iter(21/150)| lr:3.16e-02| loss_qfl:0.2438| loss_bbox:1.2903| loss_dfl:0.3613| 
INFO:root:warmup|Iter(31/150)| lr:4.00e-02| loss_qfl:0.2418| loss_bbox:1.1761| loss_dfl:0.3331| 
INFO:root:warmup|Iter(41/150)| lr:4.84e-02| loss_qfl:0.3475| loss_bbox:0.9594| loss_dfl:0.2871| 
INFO:root:warmup|Iter(51/150)| lr:5.68e-02| loss_qfl:0.4539| loss_bbox:0.8817| loss_dfl:0.2662| 
INFO:root:warmup|Iter(57/150)| lr:6.19e-02| loss_qfl:0.4484| loss_bbox:0.8457| loss_dfl:0.2554| 
INFO:root:warmup|Iter(67/150)| lr:7.03e-02| loss_qfl:0.4303| loss_bbox:0.7857| loss_dfl:0.2474| 
INFO:root:warmup|Iter(77/150)| lr:7.87e-02| loss_qfl:0.4982| loss_bbox:0.7816| loss_dfl:0.2471| 
INFO:root:warmup|Iter(87/150)| lr:8.71e-02| loss_qfl:0.4352| loss_bbox:0.7578| loss_dfl:0.2436| 
INFO:root:warmup|Iter(97/150)| lr:9.55e-02| loss_qfl:0.4657| loss_bbox:0.7199| loss_dfl:0.2411| 
INFO:root:warmup|Iter(107/150)| lr:1.04e-01| loss_qfl:0.4094| loss_bbox:0.6924| loss_dfl:0.2263| 
INFO:root:warmup|Iter(113/150)| lr:1.09e-01| loss_qfl:0.4166| loss_bbox:0.6568| loss_dfl:0.2172| 
INFO:root:warmup|Iter(123/150)| lr:1.17e-01| loss_qfl:0.4130| loss_bbox:0.6667| loss_dfl:0.2182| 
INFO:root:warmup|Iter(133/150)| lr:1.26e-01| loss_qfl:0.5215| loss_bbox:0.6946| loss_dfl:0.2212| 
INFO:root:warmup|Iter(143/150)| lr:1.34e-01| loss_qfl:0.4484| loss_bbox:0.6796| loss_dfl:0.2230| 
INFO:root:train|Epoch1/100|Iter1(0/56)| lr:1.40e-01| loss_qfl:0.3619| loss_bbox:0.6970| loss_dfl:0.2331| 
INFO:root:train|Epoch1/100|Iter11(10/56)| lr:1.40e-01| loss_qfl:0.4280| loss_bbox:0.6462| loss_dfl:0.2139| 
INFO:root:train|Epoch1/100|Iter21(20/56)| lr:1.40e-01| loss_qfl:0.4254| loss_bbox:0.6233| loss_dfl:0.2141| 
INFO:root:train|Epoch1/100|Iter31(30/56)| lr:1.40e-01| loss_qfl:0.4232| loss_bbox:0.6317| loss_dfl:0.2115| 
INFO:root:train|Epoch1/100|Iter41(40/56)| lr:1.40e-01| loss_qfl:0.3980| loss_bbox:0.6009| loss_dfl:0.2056| 
INFO:root:train|Epoch1/100|Iter51(50/56)| lr:1.40e-01| loss_qfl:0.4013| loss_bbox:0.5826| loss_dfl:0.2016| 
INFO:root:train|Epoch2/100|Iter57(0/56)| lr:1.40e-01| loss_qfl:0.3691| loss_bbox:0.6487| loss_dfl:0.2118| 
INFO:root:train|Epoch2/100|Iter67(10/56)| lr:1.40e-01| loss_qfl:0.4009| loss_bbox:0.5568| loss_dfl:0.1950| 
INFO:root:train|Epoch2/100|Iter77(20/56)| lr:1.40e-01| loss_qfl:0.4008| loss_bbox:0.5599| loss_dfl:0.1966| 
INFO:root:train|Epoch2/100|Iter87(30/56)| lr:1.40e-01| loss_qfl:0.4104| loss_bbox:0.5417| loss_dfl:0.1923| 
INFO:root:train|Epoch2/100|Iter97(40/56)| lr:1.40e-01| loss_qfl:0.4257| loss_bbox:0.5567| loss_dfl:0.1949| 
INFO:root:train|Epoch2/100|Iter107(50/56)| lr:1.40e-01| loss_qfl:0.4093| loss_bbox:0.5350| loss_dfl:0.1924| 
INFO:root:train|Epoch3/100|Iter113(0/56)| lr:1.40e-01| loss_qfl:0.3663| loss_bbox:0.5191| loss_dfl:0.1925| 
INFO:root:train|Epoch3/100|Iter123(10/56)| lr:1.40e-01| loss_qfl:0.3886| loss_bbox:0.5139| loss_dfl:0.1910| 
INFO:root:train|Epoch3/100|Iter133(20/56)| lr:1.40e-01| loss_qfl:0.3855| loss_bbox:0.5156| loss_dfl:0.1876| 
INFO:root:train|Epoch3/100|Iter143(30/56)| lr:1.40e-01| loss_qfl:0.3765| loss_bbox:0.5531| loss_dfl:0.1922| 
INFO:root:train|Epoch3/100|Iter153(40/56)| lr:1.40e-01| loss_qfl:0.3817| loss_bbox:0.5439| loss_dfl:0.1912| 
INFO:root:train|Epoch3/100|Iter163(50/56)| lr:1.40e-01| loss_qfl:0.3805| loss_bbox:0.5266| loss_dfl:0.1862| 
INFO:root:train|Epoch4/100|Iter169(0/56)| lr:1.40e-01| loss_qfl:0.3678| loss_bbox:0.5283| loss_dfl:0.1865| 
INFO:root:train|Epoch4/100|Iter179(10/56)| lr:1.40e-01| loss_qfl:0.3780| loss_bbox:0.5248| loss_dfl:0.1868| 
INFO:root:train|Epoch4/100|Iter189(20/56)| lr:1.40e-01| loss_qfl:0.3777| loss_bbox:0.5193| loss_dfl:0.1867| 
INFO:root:train|Epoch4/100|Iter199(30/56)| lr:1.40e-01| loss_qfl:0.3581| loss_bbox:0.5424| loss_dfl:0.1911| 
INFO:root:train|Epoch4/100|Iter209(40/56)| lr:1.40e-01| loss_qfl:0.3581| loss_bbox:0.5024| loss_dfl:0.1846| 
INFO:root:train|Epoch4/100|Iter219(50/56)| lr:1.40e-01| loss_qfl:0.3630| loss_bbox:0.5055| loss_dfl:0.1876| 
