INFO:root:Using Tensorboard, logs will be saved in workspace/20210408_1/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 2823 annotation files.
INFO:root:Load 2823 xml files and 7698 boxes
INFO:root:Done (t=0.17s)
INFO:root:loading annotations into memory...
INFO:root:Found 500 annotation files.
INFO:root:Load 500 xml files and 1370 boxes
INFO:root:Done (t=0.03s)
INFO:root:Training batch size: 50
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:warmup|Iter(1/100)| lr:1.80e-02| loss_qfl:0.0450| loss_bbox:1.7331| loss_dfl:0.5206| 
INFO:root:warmup|Iter(11/100)| lr:3.04e-02| loss_qfl:0.0992| loss_bbox:1.6234| loss_dfl:0.4513| 
INFO:root:warmup|Iter(21/100)| lr:4.27e-02| loss_qfl:0.2279| loss_bbox:1.3002| loss_dfl:0.3127| 
INFO:root:warmup|Iter(31/100)| lr:5.50e-02| loss_qfl:0.2788| loss_bbox:1.0959| loss_dfl:0.2794| 
INFO:root:warmup|Iter(41/100)| lr:6.73e-02| loss_qfl:0.3954| loss_bbox:0.9567| loss_dfl:0.2501| 
INFO:root:warmup|Iter(51/100)| lr:7.96e-02| loss_qfl:0.4002| loss_bbox:0.9108| loss_dfl:0.2432| 
INFO:root:warmup|Iter(57/100)| lr:8.70e-02| loss_qfl:0.3987| loss_bbox:0.8961| loss_dfl:0.2393| 
INFO:root:warmup|Iter(67/100)| lr:9.93e-02| loss_qfl:0.3980| loss_bbox:0.8375| loss_dfl:0.2297| 
INFO:root:warmup|Iter(77/100)| lr:1.12e-01| loss_qfl:0.4006| loss_bbox:0.8030| loss_dfl:0.2255| 
INFO:root:warmup|Iter(87/100)| lr:1.24e-01| loss_qfl:0.5401| loss_bbox:0.8418| loss_dfl:0.2309| 
INFO:root:warmup|Iter(97/100)| lr:1.36e-01| loss_qfl:0.3997| loss_bbox:0.8047| loss_dfl:0.2276| 
