INFO:root:Using Tensorboard, logs will be saved in workspace/20210312_1/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 2823 annotation files.
INFO:root:Load 2823 xml files and 7698 boxes
INFO:root:Done (t=0.43s)
INFO:root:loading annotations into memory...
INFO:root:Found 500 annotation files.
INFO:root:Load 500 xml files and 1370 boxes
INFO:root:Done (t=0.08s)
INFO:root:Training batch size: 60
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:warmup|Iter(1/300)| lr:1.44e-02| loss_qfl:0.0667| loss_bbox:1.6664| loss_dfl:0.5260| 
INFO:root:warmup|Iter(11/300)| lr:1.86e-02| loss_qfl:0.1716| loss_bbox:1.4662| loss_dfl:0.4436| 
INFO:root:warmup|Iter(21/300)| lr:2.28e-02| loss_qfl:0.2622| loss_bbox:1.1306| loss_dfl:0.3227| 
INFO:root:warmup|Iter(31/300)| lr:2.70e-02| loss_qfl:0.3123| loss_bbox:0.9099| loss_dfl:0.2771| 
INFO:root:warmup|Iter(41/300)| lr:3.12e-02| loss_qfl:0.3524| loss_bbox:0.8001| loss_dfl:0.2510| 
INFO:root:warmup|Iter(48/300)| lr:3.42e-02| loss_qfl:0.4590| loss_bbox:0.7319| loss_dfl:0.2315| 
INFO:root:warmup|Iter(58/300)| lr:3.84e-02| loss_qfl:0.5327| loss_bbox:0.7242| loss_dfl:0.2339| 
INFO:root:warmup|Iter(68/300)| lr:4.26e-02| loss_qfl:0.3918| loss_bbox:0.6933| loss_dfl:0.2293| 
INFO:root:warmup|Iter(78/300)| lr:4.68e-02| loss_qfl:0.3561| loss_bbox:0.6411| loss_dfl:0.2188| 
INFO:root:warmup|Iter(88/300)| lr:5.10e-02| loss_qfl:0.3501| loss_bbox:0.6467| loss_dfl:0.2123| 
INFO:root:warmup|Iter(95/300)| lr:5.39e-02| loss_qfl:0.3610| loss_bbox:0.6156| loss_dfl:0.2056| 
INFO:root:warmup|Iter(105/300)| lr:5.81e-02| loss_qfl:0.3617| loss_bbox:0.6137| loss_dfl:0.2054| 
INFO:root:warmup|Iter(115/300)| lr:6.23e-02| loss_qfl:0.3510| loss_bbox:0.5921| loss_dfl:0.1998| 
INFO:root:warmup|Iter(125/300)| lr:6.65e-02| loss_qfl:0.3383| loss_bbox:0.5666| loss_dfl:0.1964| 
INFO:root:warmup|Iter(135/300)| lr:7.07e-02| loss_qfl:0.3353| loss_bbox:0.5860| loss_dfl:0.1979| 
INFO:root:warmup|Iter(142/300)| lr:7.36e-02| loss_qfl:0.3550| loss_bbox:0.5895| loss_dfl:0.2004| 
INFO:root:warmup|Iter(152/300)| lr:7.78e-02| loss_qfl:0.3764| loss_bbox:0.5747| loss_dfl:0.1976| 
INFO:root:warmup|Iter(162/300)| lr:8.20e-02| loss_qfl:0.3151| loss_bbox:0.5579| loss_dfl:0.1921| 
INFO:root:warmup|Iter(172/300)| lr:8.62e-02| loss_qfl:0.3126| loss_bbox:0.5480| loss_dfl:0.1920| 
INFO:root:warmup|Iter(182/300)| lr:9.04e-02| loss_qfl:0.3207| loss_bbox:0.5427| loss_dfl:0.1921| 
INFO:root:warmup|Iter(189/300)| lr:9.34e-02| loss_qfl:0.2980| loss_bbox:0.5567| loss_dfl:0.1930| 
INFO:root:warmup|Iter(199/300)| lr:9.76e-02| loss_qfl:0.3093| loss_bbox:0.5183| loss_dfl:0.1871| 
INFO:root:warmup|Iter(209/300)| lr:1.02e-01| loss_qfl:0.2883| loss_bbox:0.5242| loss_dfl:0.1870| 
INFO:root:warmup|Iter(219/300)| lr:1.06e-01| loss_qfl:0.2770| loss_bbox:0.5398| loss_dfl:0.1890| 
INFO:root:warmup|Iter(229/300)| lr:1.10e-01| loss_qfl:0.2915| loss_bbox:0.5316| loss_dfl:0.1887| 
INFO:root:warmup|Iter(236/300)| lr:1.13e-01| loss_qfl:0.2753| loss_bbox:0.5216| loss_dfl:0.1827| 
INFO:root:warmup|Iter(246/300)| lr:1.17e-01| loss_qfl:0.2666| loss_bbox:0.5168| loss_dfl:0.1853| 
INFO:root:warmup|Iter(256/300)| lr:1.22e-01| loss_qfl:0.2740| loss_bbox:0.5032| loss_dfl:0.1845| 
INFO:root:warmup|Iter(266/300)| lr:1.26e-01| loss_qfl:0.2624| loss_bbox:0.5161| loss_dfl:0.1842| 
INFO:root:warmup|Iter(276/300)| lr:1.30e-01| loss_qfl:0.2451| loss_bbox:0.5179| loss_dfl:0.1822| 
INFO:root:warmup|Iter(283/300)| lr:1.33e-01| loss_qfl:0.2783| loss_bbox:0.5125| loss_dfl:0.1824| 
INFO:root:warmup|Iter(293/300)| lr:1.37e-01| loss_qfl:0.2807| loss_bbox:0.4920| loss_dfl:0.1789| 
INFO:root:train|Epoch1/190|Iter1(0/47)| lr:1.40e-01| loss_qfl:0.2317| loss_bbox:0.4819| loss_dfl:0.1777| 
INFO:root:train|Epoch1/190|Iter11(10/47)| lr:1.40e-01| loss_qfl:0.2454| loss_bbox:0.4817| loss_dfl:0.1777| 
INFO:root:train|Epoch1/190|Iter21(20/47)| lr:1.40e-01| loss_qfl:0.2208| loss_bbox:0.4901| loss_dfl:0.1807| 
INFO:root:train|Epoch1/190|Iter31(30/47)| lr:1.40e-01| loss_qfl:0.2254| loss_bbox:0.5045| loss_dfl:0.1823| 
INFO:root:train|Epoch1/190|Iter41(40/47)| lr:1.40e-01| loss_qfl:0.2329| loss_bbox:0.4995| loss_dfl:0.1807| 
INFO:root:train|Epoch2/190|Iter48(0/47)| lr:1.40e-01| loss_qfl:0.1862| loss_bbox:0.4874| loss_dfl:0.1753| 
INFO:root:train|Epoch2/190|Iter58(10/47)| lr:1.40e-01| loss_qfl:0.2249| loss_bbox:0.4760| loss_dfl:0.1771| 
INFO:root:train|Epoch2/190|Iter68(20/47)| lr:1.40e-01| loss_qfl:0.2431| loss_bbox:0.5042| loss_dfl:0.1808| 
INFO:root:train|Epoch2/190|Iter78(30/47)| lr:1.40e-01| loss_qfl:0.2255| loss_bbox:0.4630| loss_dfl:0.1749| 
INFO:root:train|Epoch2/190|Iter88(40/47)| lr:1.40e-01| loss_qfl:0.2575| loss_bbox:0.4878| loss_dfl:0.1780| 
